nse_symbol,fyers_symbol,isin,name,fytoken,last_updated
DIGITIDE,NSE:DIGITIDE-EQ,INE0U4701011,DIGITIDE SOLUTIONS LTD,1010000000757515,2026-08-27
DIGJAMLMTD,NSE:DIGJAMLMTD-EQ,INE731U01028,DIGJAM LTD,10100000006127,2026-08-27
DISAQ,NSE:DISAQ-EQ,INE131C01011,DISA INDIA LTD.,1010000000762643,2026-08-27
DISHTV,NSE:DISHTV-EQ,INE836F01026,DISH TV INDIA LTD.,101000000014537,2026-08-27
DIVGIITTS,NSE:DIVGIITTS-EQ,INE753U01022,DIVGI TORQTRANSFER SYST L,101000000014479,2026-08-27
DIVISLAB,NSE:DIVISLAB-EQ,INE361B01024,DIVI S LABORATORIES LTD,101000000010940,2026-08-27
DIXON,NSE:DIXON-EQ,INE935N01020,DIXON TECHNO (INDIA) LTD,101000000021690,2026-08-27
DJML,NSE:DJML-EQ,INE0B1K01014,DJ MEDIAPRINT & LOG LTD,101000000012749,2026-08-27
DLF,NSE:DLF-EQ,INE271C01023,DLF LIMITED,101000000014732,2026-08-27
DLINKINDIA,NSE:DLINKINDIA-EQ,INE250K01012,D-LINK INDIA LTD,101000000017851,2026-08-27
DMART,NSE:DMART-EQ,INE192R01011,AVENUE SUPERMARTS LIMITED,101000000019913,2026-08-27
DMCC,NSE:DMCC-EQ,INE505A01010,DMCC SPECIALITY CHEMICALS,10100000006973,2026-08-27
DNAMEDIA,NSE:DNAMEDIA-EQ,INE016M01021,DILIGENT MEDIA CORP LTD.,1010000000641,2026-08-27
DODLA,NSE:DODLA-EQ,INE021O01019,DODLA DAIRY LIMITED,10100000004822,2026-08-27
DOLATALGO,NSE:DOLATALGO-EQ,INE966A01022,DOLAT ALGOTECH LIMITED,101000000012124,2026-08-27
DOLLAR,NSE:DOLLAR-EQ,INE325C01035,DOLLAR INDUSTRIES LIMITED,101000000020560,2026-08-27
DOLPHIN,NSE:DOLPHIN-EQ,INE920A01037,DOLPHIN OFF ENT (IND) L,101000000018139,2026-08-27
DOMS,NSE:DOMS-EQ,INE321T01012,DOMS INDUSTRIES LIMITED,101000000020551,2026-08-27
DONEAR,NSE:DONEAR-EQ,INE668D01028,DONEAR IND. LIMITED,101000000013839,2026-08-27
DPABHUSHAN,NSE:DPABHUSHAN-EQ,INE266Y01019,D. P. ABHUSHAN LIMITED,1010000000936,2026-08-27
DRAGARWQ,NSE:DRAGARWQ-EQ,INE934C01018,DR. AGARWAL'S EYE HOSP L,1010000000762648,2026-08-27
DRCSYSTEMS,NSE:DRCSYSTEMS-EQ,INE03RS01027,DRC SYSTEMS INDIA LIMITED,10100000002645,2026-08-27
DREAMFOLKS,NSE:DREAMFOLKS-EQ,INE0JS101016,DREAMFOLKS SERVICES LTD,101000000010859,2026-08-27
DREDGECORP,NSE:DREDGECORP-EQ,INE506A01018,DREDGING CORP OF INDIA,101000000011271,2026-08-27
DRREDDY,NSE:DRREDDY-EQ,INE089A01031,DR. REDDY S LABORATORIES,1010000000881,2026-08-27
DSSL,NSE:DSSL-EQ,INE417B01040,DYNACONS SYS & SOLN LTD,101000000025690,2026-08-27
DTIL,NSE:DTIL-EQ,INE341R01014,DHUNSERI TEA & IND. LTD.,10100000006227,2026-08-27
DUCON,NSE:DUCON-EQ,INE741L01018,DUCON INFRATECHNOLOGIES L,101000000028952,2026-08-27
DVL,NSE:DVL-EQ,INE477B01010,DHUNSERI VENTURES LIMITED,101000000015214,2026-08-27
DWARKESH,NSE:DWARKESH-EQ,INE366A01041,DWARIKESH SUGAR IND LTD,101000000011667,2026-08-27
DYCL,NSE:DYCL-EQ,INE600Y01019,DYNAMIC CABLES LIMITED,101000000010417,2026-08-27
DYNAMATECH,NSE:DYNAMATECH-EQ,INE221B01012,DYNAMATIC TECHNOLOGIES,10100000004525,2026-08-27
DYNPRO,NSE:DYNPRO-EQ,INE256H01015,DYNEMIC PRODUCTS LIMITED,101000000021314,2026-08-27
EASEMYTRIP,NSE:EASEMYTRIP-EQ,INE07O001026,EASY TRIP PLANNERS LTD,10100000002792,2026-08-27
EASTWEST,NSE:EASTWEST-EQ,INE595R01023,EAST WEST FREIGHT CARRI L,1010000000765065,2026-08-27
EBGNG,NSE:EBGNG-EQ,INE18JU01028,GNG ELECTRONICS LIMITED,1010000000757862,2026-08-27
EBIX,NSE:EBIX-EQ,INE432F01032,EBIX LIMITED,1010000000765070,2026-08-27
ECLERX,NSE:ECLERX-EQ,INE738I01010,ECLERX SERVICES LTD,101000000015179,2026-08-27
ECORECO,NSE:ECORECO-EQ,INE316A01038,ECO RECYCLING LTD.,1010000000764663,2026-08-27
EDELWEISS,NSE:EDELWEISS-EQ,INE532F01054,EDELWEISS FIN SERV LTD,101000000015119,2026-08-27
EFCIL,NSE:EFCIL-EQ,INE886D01026,EFC (I) LIMITED,1010000000758675,2026-08-27
EICHERMOT,NSE:EICHERMOT-EQ,INE066A01021,EICHER MOTORS LTD,1010000000910,2026-08-27
EIDPARRY,NSE:EIDPARRY-EQ,INE126A01031,EID PARRY INDIA LTD,1010000000916,2026-08-27
EIEL,NSE:EIEL-EQ,INE0LLY01014,ENVIRO INFRA ENGINEERS L,101000000027213,2026-08-27
EIHAHOTELS,NSE:EIHAHOTELS-EQ,INE276C01014,EIH ASSOCIATED HOTELS LTD,101000000015399,2026-08-27
EIHOTEL,NSE:EIHOTEL-EQ,INE230A01023,EIH LIMITED,1010000000919,2026-08-27
EIMCOELECO,NSE:EIMCOELECO-EQ,INE158B01016,EIMCO ELECON (INDIA) LTD,10100000004040,2026-08-27
EKC,NSE:EKC-EQ,INE184H01027,EVEREST KANTO CYLINDERLTD,101000000013091,2026-08-27
EKI,NSE:EKI-EQ,INE0CPR01018,EKI ENERGY SERVICES LTD,1010000000764668,2026-08-27
ELANTAS,NSE:ELANTAS-EQ,INE280B01018,ELANTAS BECK INDIA LTD.,1010000000762653,2026-08-27
ELCIDIN,NSE:ELCIDIN-EQ,INE927X01018,ELCID INVESTMENTS LTD.,1010000000762658,2026-08-27
ELDEHSG,NSE:ELDEHSG-EQ,INE668G01021,ELDECO HSG & IND LTD.,10100000008953,2026-08-27
ELECON,NSE:ELECON-EQ,INE205B01031,ELECON ENG. CO. LTD,101000000013643,2026-08-27
ELECTCAST,NSE:ELECTCAST-EQ,INE086A01029,ELECTROSTEEL CASTINGS LTD,1010000000928,2026-08-27
ELECTHERM,NSE:ELECTHERM-EQ,INE822G01016,ELECTROTHERM (I) LTD.,10100000004469,2026-08-27
ELGIEQUIP,NSE:ELGIEQUIP-EQ,INE285A01027,ELGI EQUIPMENTS LTD,1010000000937,2026-08-27
ELGIRUBCO,NSE:ELGIRUBCO-EQ,INE819L01012,ELGI RUBBER CO. LTD,101000000024924,2026-08-27
ELIN,NSE:ELIN-EQ,INE050401020,ELIN ELECTRONICS LIMITED,101000000013423,2026-08-27
ELITECON,NSE:ELITECON-EQ,INE669R01026,ELITECON INTERNATIONAL L,1010000000762663,2026-08-27
ELLEN,NSE:ELLEN-EQ,INE236E01022,ELLENBARRIE INDUS GASES L,1010000000758563,2026-08-27
ELPROINTL,NSE:ELPROINTL-EQ,INE579B01039,ELPRO INTERNATIONAL LTD,10100000004471,2026-08-27
EMAMILTD,NSE:EMAMILTD-EQ,INE548C01032,EMAMI LIMITED,101000000013517,2026-08-27
EMAMIREAL,NSE:EMAMIREAL-EQ,INE778K01012,EMAMI REALTY LIMITED,101000000019277,2026-08-27
EMBDL,NSE:EMBDL-EQ,INE069I01010,EMBASSY DEVELOPMENTS LTD,101000000014450,2026-08-27
EMCURE,NSE:EMCURE-EQ,INE168P01015,EMCURE PHARMACEUTICALS L,101000000024398,2026-08-27
EMIL,NSE:EMIL-EQ,INE02YR01019,ELECTRONICS MART IND LTD,101000000011530,2026-08-27
EMKAY,NSE:EMKAY-EQ,INE296H01011,EMKAY GLOBAL FIN SERV LTD,101000000013421,2026-08-27
EMMVEE,NSE:EMMVEE-EQ,INE1C6T01020,EMMVEE PHOTOVOLTAIC PWR L,1010000000759728,2026-08-27
EMPIND,NSE:EMPIND-EQ,INE515H01014,EMPIRE INDUSTRIES LTD.,1010000000764673,2026-08-27
EMPOWER,NSE:EMPOWER-EQ,INE507F01023,EMPOWER INDIA LTD.,1010000000762670,2026-08-27
EMSLIMITED,NSE:EMSLIMITED-EQ,INE0OV601013,EMS LIMITED,101000000018593,2026-08-27
EMUDHRA,NSE:EMUDHRA-EQ,INE01QM01018,EMUDHRA LIMITED,10100000009756,2026-08-27
ENDURANCE,NSE:ENDURANCE-EQ,INE913H01037,ENDURANCE TECHNO. LTD.,101000000018822,2026-08-27
ENERGYDEV,NSE:ENERGYDEV-EQ,INE306C01019,ENERGY DEVE. CO.LTD,101000000015049,2026-08-27
ENGINERSIN,NSE:ENGINERSIN-EQ,INE510A01028,ENGINEERS INDIA LTD,10100000004907,2026-08-27
ENIL,NSE:ENIL-EQ,INE265F01028,ENTERTAIN NET. IND. LTD.,101000000013192,2026-08-27
ENKEIWHEL,NSE:ENKEIWHEL-EQ,INE130L01014,ENKEI WHEELS (INDIA) LTD.,1010000000764678,2026-08-27
ENRIN,NSE:ENRIN-EQ,INE1NPP01017,SIEMENS ENERGY INDIA LTD,1010000000756871,2026-08-27
ENTERO,NSE:ENTERO-EQ,INE010601016,ENTERO HEALTHCARE SOLU L,101000000022717,2026-08-27
EPACK,NSE:EPACK-EQ,INE0G5901015,EPACK DURABLE LIMITED,101000000022463,2026-08-27
EPACKPEB,NSE:EPACKPEB-EQ,INE0MLS01022,EPACK PREFAB TECHN LTD,1010000000759251,2026-08-27
EPIGRAL,NSE:EPIGRAL-EQ,INE071N01016,EPIGRAL LIMITED,10100000005382,2026-08-27
EPL,NSE:EPL-EQ,INE255A01020,EPL LIMITED,1010000000981,2026-08-27
EQUITASBNK,NSE:EQUITASBNK-EQ,INE063P01018,EQUITAS SMALL FIN BNK LTD,1010000000913,2026-08-27
ERIS,NSE:ERIS-EQ,INE406M01024,ERIS LIFESCIENCES LIMITED,101000000021154,2026-08-27
ESABINDIA,NSE:ESABINDIA-EQ,INE284A01012,ESAB INDIA LTD,1010000000955,2026-08-27
ESCORTS,NSE:ESCORTS-EQ,INE042A01014,ESCORTS KUBOTA LIMITED,1010000000958,2026-08-27
ESSARSHPNG,NSE:ESSARSHPNG-EQ,INE122M01019,ESSAR SHIPPING LTD,101000000025634,2026-08-27
ESSENTIA,NSE:ESSENTIA-EQ,INE418N01035,INTEGRA ESSENTIA LIMITED,101000000030323,2026-08-27
ESTER,NSE:ESTER-EQ,INE778B01029,ESTER INDUSTRIES LTD,101000000024265,2026-08-27
ETERNAL,NSE:ETERNAL-EQ,INE758T01015,ETERNAL LIMITED,10100000005097,2026-08-27
ETHOSLTD,NSE:ETHOSLTD-EQ,INE04TZ01018,ETHOS LIMITED,10100000009750,2026-08-27
EUREKAFORB,NSE:EUREKAFORB-EQ,INE0KCE01017,EUREKA FORBES LIMITED,101000000025162,2026-08-27
EUROBOND,NSE:EUROBOND-EQ,INE505V01016,EURO PANEL PRODUCTS LTD,1010000000757953,2026-08-27
EUROPRATIK,NSE:EUROPRATIK-EQ,INE198501012,EURO PRATIK SALES LIMITED,1010000000759797,2026-08-27
EVEREADY,NSE:EVEREADY-EQ,INE128A01029,EVEREADY INDS. IND.  LTD.,101000000011782,2026-08-27
EXCELINDUS,NSE:EXCELINDUS-EQ,INE369A01029,EXCEL INDUSTRIES LTD,101000000011471,2026-08-27
EXCELSOFT,NSE:EXCELSOFT-EQ,INE606N01019,EXCELSOFT TECHNOLOGIES L,1010000000760007,2026-08-27
EXICOM,NSE:EXICOM-EQ,INE777F01014,EXICOM TELE SYSTEMS LTD,101000000022947,2026-08-27
EXIDEIND,NSE:EXIDEIND-EQ,INE302A01020,EXIDE INDUSTRIES LTD,1010000000676,2026-08-27
EXPLEOSOL,NSE:EXPLEOSOL-EQ,INE201K01015,EXPLEO SOLUTIONS LIMITED,101000000017486,2026-08-27
EXXARO,NSE:EXXARO-EQ,INE0GFE01026,EXXARO TILES LIMITED,10100000005352,2026-08-27
FABTECH,NSE:FABTECH-EQ,INE0HF201011,FABTECH TECHNOLOGIES LTD,1010000000760125,2026-08-27
FACT,NSE:FACT-EQ,INE188A01015,FACT LTD,10100000001008,2026-08-27
FAZE3Q,NSE:FAZE3Q-EQ,INE963C01033,FAZE THREE LIMITED,101000000012000,2026-08-27
FCL,NSE:FCL-EQ,INE045J01034,FINEOTEX CHEMICAL LIMITED,10100000006198,2026-08-27
FCSSOFT,NSE:FCSSOFT-EQ,INE512B01022,FCS SOFTWARE SOLN. LTD.,101000000011999,2026-08-27
FDC,NSE:FDC-EQ,INE258B01022,FDC LIMITED,10100000004898,2026-08-27
FEDDERSHOL,NSE:FEDDERSHOL-EQ,INE417D01020,FEDDERS HOLDING LTD.,1010000000762675,2026-08-27
FEDERALBNK,NSE:FEDERALBNK-EQ,INE171A01029,FEDERAL BANK LTD,10100000001023,2026-08-27
FEDFINA,NSE:FEDFINA-EQ,INE007N01010,FEDBANK FINANCIAL SER L,101000000020322,2026-08-27
FERMENTA,NSE:FERMENTA-EQ,INE225B01021,FERMENTA BIOTECH LTD.,1010000000762680,2026-08-27
FIBERWEB,NSE:FIBERWEB-EQ,INE296C01020,FIBERWEB INDIA LIMITED,10100000008159,2026-08-27
FIEMIND,NSE:FIEMIND-EQ,INE737H01014,FIEM INDUSTRIES LIMITED,101000000013710,2026-08-27
FILATEX,NSE:FILATEX-EQ,INE816B01035,FILATEX INDIA LTD,101000000024532,2026-08-27
FILATFASH,NSE:FILATFASH-EQ,INE185E01021,FILATEX FASHIONS LIMITED,101000000023647,2026-08-27
FINCABLES,NSE:FINCABLES-EQ,INE235A01022,FINOLEX CABLES LTD,10100000001038,2026-08-27
FINEORG,NSE:FINEORG-EQ,INE686Y01026,FINE ORGANIC IND. LTD.,10100000003744,2026-08-27
FINKURVE,NSE:FINKURVE-EQ,INE734I01027,FINKURVE FINANCIAL SERV L,1010000000759239,2026-08-27
FINOPB,NSE:FINOPB-EQ,INE02NC01014,FINO PAYMENTS BANK LTD,10100000006579,2026-08-27
FINPIPE,NSE:FINPIPE-EQ,INE183A01024,FINOLEX INDUSTRIES LTD,10100000001041,2026-08-27
FIRSTCRY,NSE:FIRSTCRY-EQ,INE02RE01045,BRAINBEES SOLUTIONS LTD,101000000024814,2026-08-27
FISCHER,NSE:FISCHER-EQ,INE771F01041,FISCHER MEDICAL VENTURE L,1010000000757658,2026-08-27
FIVESTAR,NSE:FIVESTAR-EQ,INE128S01021,FIVE-STAR BUS FIN LTD,101000000012032,2026-08-27
FLAIR,NSE:FLAIR-EQ,INE00Y201027,FLAIR WRITING INDUST LTD,101000000020372,2026-08-27
FLUOROCHEM,NSE:FLUOROCHEM-EQ,INE09N301011,GUJARAT FLUOROCHEM LTD,101000000013750,2026-08-27
FMGOETZE,NSE:FMGOETZE-EQ,INE529A01010,FEDERAL-MOGUL GOETZE (IND,10100000001190,2026-08-27
FMNL,NSE:FMNL-EQ,INE360L01017,FUTURE MKT NETWORKS LTD,101000000021017,2026-08-27
FOODSIN,NSE:FOODSIN-EQ,INE976E01023,FOODS & INNS LIMITED,10100000006673,2026-08-27
FORCEMOT,NSE:FORCEMOT-EQ,INE451A01017,FORCE MOTORS LIMITED,101000000011573,2026-08-27
FORTIS,NSE:FORTIS-EQ,INE061F01013,FORTIS HEALTHCARE LTD,101000000014592,2026-08-27
FOSECOIND,NSE:FOSECOIND-EQ,INE519A01011,FOSECO INDIA LTD,10100000001073,2026-08-27
FRACTAL,NSE:FRACTAL-EQ,INE212S01015,FRACTAL ANALYTICS LIMITED,1010000000760961,2026-08-27
FREDUN,NSE:FREDUN-EQ,INE194R01017,FREDUN PHARMACEUTICALS L,1010000000764683,2026-08-27
FRONTSP,NSE:FRONTSP-EQ,INE572D01014,FRONTIER SPRINGS LTD.,1010000000762685,2026-08-27
FSL,NSE:FSL-EQ,INE684F01012,FIRSTSOURCE SOLU. LTD.,101000000014304,2026-08-27
FUSION,NSE:FUSION-EQ,INE139R01012,FUSION FINANCE LIMITED,101000000011932,2026-08-27
GABRIEL,NSE:GABRIEL-EQ,INE524A01029,GABRIEL INDIA LTD,10100000001085,2026-08-27
GAEL,NSE:GAEL-EQ,INE036B01030,GUJARAT AMBUJA EXPORTS LT,10100000008828,2026-08-27
GAIL,NSE:GAIL-EQ,INE129A01019,GAIL (INDIA) LTD,10100000004717,2026-08-27
GAJA,NSE:GAJA-EQ,INE18UN01038,GAJA ALT ASSET MGT LTD,1010000000765396,2026-08-27
GALAPREC,NSE:GALAPREC-EQ,INE0RE001014,GALA PRECISION ENG LTD,101000000025134,2026-08-27
GALAXYSURF,NSE:GALAXYSURF-EQ,INE600K01018,GALAXY SURFACTANTS LTD,10100000001315,2026-08-27
GALLANTT,NSE:GALLANTT-EQ,INE297H01019,GALLANTT ISPAT LIMITED,101000000013337,2026-08-27
GANDHAR,NSE:GANDHAR-EQ,INE717W01049,GANDHAR OIL REFINE IND L,101000000020303,2026-08-27
GANDHITUBE,NSE:GANDHITUBE-EQ,INE524B01027,GANDHI SPL. TUBES LTD,101000000014116,2026-08-27
GANECOS,NSE:GANECOS-EQ,INE845D01014,GANESHA ECOSPHERE LIMITED,10100000006944,2026-08-27
GANESHCP,NSE:GANESHCP-EQ,INE652V01016,GANESH CONSUMER PRODUCT L,1010000000759012,2026-08-27
GANESHHOU,NSE:GANESHHOU-EQ,INE460C01014,GANESH HOUSING LIMITED,101000000014339,2026-08-27
GANGAFORGE,NSE:GANGAFORGE-EQ,INE691Z01023,GANGA FORGING LIMITED,10100000004957,2026-08-27
GANGESSECU,NSE:GANGESSECU-EQ,INE335W01016,GANGES SECURITIES LIMITED,101000000021399,2026-08-27
GARFIBRES,NSE:GARFIBRES-EQ,INE276A01018,GARWARE TECH FIBRES LTD,10100000001100,2026-08-27
GARUDA,NSE:GARUDA-EQ,INE0JVO01026,GARUDA CONSTRUCT N ENG L,101000000025800,2026-08-27
GATEWAY,NSE:GATEWAY-EQ,INE079J01017,GATEWAY DISTRIPARKS LTD,10100000008510,2026-08-27
GAYAHWS,NSE:GAYAHWS-EQ,INE287Z01012,GAYATRI HIGHWAYS LIMITED,10100000003693,2026-08-27
GCSL,NSE:GCSL-EQ,INE199P01028,GRETEX CORPORATE SERVICES,1010000000758986,2026-08-27
GEEKAYWIRE,NSE:GEEKAYWIRE-EQ,INE669X01032,GEEKAY WIRES LIMITED,101000000017922,2026-08-27
GEMAROMA,NSE:GEMAROMA-EQ,INE06XZ01023,GEM AROMATICS LIMITED,1010000000759461,2026-08-27
GENCON,NSE:GENCON-EQ,INE854S01022,GENERIC ENG CONS PROJ LTD,10100000002188,2026-08-27
GENESYS,NSE:GENESYS-EQ,INE727B01026,GENESYS INTL CORPN LTD,101000000010905,2026-08-27
GENUSPAPER,NSE:GENUSPAPER-EQ,INE949P01018,GENUS P&B LIMITED,10100000006600,2026-08-27
GENUSPOWER,NSE:GENUSPOWER-EQ,INE955D01029,GENUS POWER INFRASTRU LTD,101000000011905,2026-08-27
GEOJITFSL,NSE:GEOJITFSL-EQ,INE007B01023,GEOJIT FINANCIAL SER L,101000000011896,2026-08-27
GESHIP,NSE:GESHIP-EQ,INE017A01032,THE GE SHPG.LTD,101000000013776,2026-08-27
GFLLIMITED,NSE:GFLLIMITED-EQ,INE538A01037,GFL LIMITED,10100000001289,2026-08-27
GHCL,NSE:GHCL-EQ,INE539A01019,GHCL LIMITED,10100000001127,2026-08-27
GHCLTEXTIL,NSE:GHCLTEXTIL-EQ,INE0PA801013,GHCL TEXTILES LIMITED,101000000016696,2026-08-27
GICHSGFIN,NSE:GICHSGFIN-EQ,INE289B01019,GIC HOUSING FINANCE LTD,10100000001139,2026-08-27
GICL,NSE:GICL-EQ,INE947T01022,GLOBE INTL CARRIERS LTD,1010000000761025,2026-08-27
GICRE,NSE:GICRE-EQ,INE481Y01014,GENERAL INS CORP OF INDIA,1010000000277,2026-08-27
GILLANDERS,NSE:GILLANDERS-EQ,INE047B01011,GILLANDERS ARBUTHNOT LTD,101000000017839,2026-08-27
GILLETTE,NSE:GILLETTE-EQ,INE322A01010,GILLETTE INDIA LTD,10100000001576,2026-08-27
GIPCL,NSE:GIPCL-EQ,INE162A01010,GUJ IND POW CO. LTD,10100000001145,2026-08-27
GKB,NSE:GKB-EQ,INE265D01015,GKB OPHTHALMICS LTD.,1010000000764688,2026-08-27
GKENERGY,NSE:GKENERGY-EQ,INE1AG301022,GK ENERGY LIMITED,1010000000759048,2026-08-27
GKSL,NSE:GKSL-EQ,INE0V0W01025,GUJARAT KIDNEY N SUP SP L,1010000000761197,2026-08-27
GKWLIMITED,NSE:GKWLIMITED-EQ,INE528A01020,GKW LIMITED,101000000017357,2026-08-27
GLAND,NSE:GLAND-EQ,INE068V01023,GLAND PHARMA LIMITED,10100000001186,2026-08-27
GLAXO,NSE:GLAXO-EQ,INE159A01016,GLAXOSMITHKLINE PHARMA LT,10100000001153,2026-08-27
GLENMARK,NSE:GLENMARK-EQ,INE935A01035,GLENMARK PHARMACEUTICALS,10100000007406,2026-08-27
GLFL,NSE:GLFL-EQ,INE540A01017,GUJARAT LEASE FINANCING L,10100000001156,2026-08-27
GLOBAL,NSE:GLOBAL-EQ,INE291W01037,GLOBAL EDUCATION LIMITED,10100000001415,2026-08-27
GLOBALE,NSE:GLOBALE-EQ,INE0URU01010,GLOBALE TESSILE LIMITED,101000000024932,2026-08-27
GLOBALVECT,NSE:GLOBALVECT-EQ,INE792H01019,GLOBAL VEC HELICORP LTD,101000000013735,2026-08-27
GLOBE,NSE:GLOBE-EQ,INE581X01021,GLOBE ENTERPRISE (I) LTD,1010000000393,2026-08-27
GLOBECIVIL,NSE:GLOBECIVIL-EQ,INE0V3U01015,GLOBE CIVIL PROJECTS LTD,1010000000758572,2026-08-27
GLOBUSSPR,NSE:GLOBUSSPR-EQ,INE615I01010,GLOBUS SPIRITS LTD,101000000017424,2026-08-27
GLOSTERLTD,NSE:GLOSTERLTD-EQ,INE350Z01018,GLOSTER LIMITED,101000000023590,2026-08-27
GLOTTIS,NSE:GLOTTIS-EQ,INE0TQE01026,GLOTTIS LIMITED,1010000000760116,2026-08-27
GMBREW,NSE:GMBREW-EQ,INE075D01018,G M BREWERIES LTD,10100000001168,2026-08-27
GMDCLTD,NSE:GMDCLTD-EQ,INE131A01031,GUJARAT MINERAL DEV CORP,10100000005204,2026-08-27
GMMPFAUDLR,NSE:GMMPFAUDLR-EQ,INE541A01023,GMM PFAUDLER LIMITED,10100000001570,2026-08-27
GMRAIRPORT,NSE:GMRAIRPORT-EQ,INE776C01039,GMR AIRPORTS LIMITED,101000000013528,2026-08-27
GMRP&UI,NSE:GMRP&UI-EQ,INE0CU601026,GMR POW AND URBAN INFRA L,10100000008529,2026-08-27
GNA,NSE:GNA-EQ,INE934S01014,GNA AXLES LIMITED,101000000018571,2026-08-27
GNFC,NSE:GNFC-EQ,INE113A01013,GUJ NAR VAL FER & CHEM L,10100000001174,2026-08-27
GNRL,NSE:GNRL-EQ,INE207H01018,GUJARAT NATURAL RES L,1010000000762690,2026-08-27
GOACARBON,NSE:GOACARBON-EQ,INE426D01013,GOA CARBON LIMITED,101000000014687,2026-08-27
GOCLCORP,NSE:GOCLCORP-EQ,INE077F01035,GOCL CORPORATION LIMITED,10100000003963,2026-08-27
GOCOLORS,NSE:GOCOLORS-EQ,INE0BJS01011,GO FASHION INDIA LTD,10100000006964,2026-08-27
GODAVARIB,NSE:GODAVARIB-EQ,INE497S01012,GODAVARI BIOREFINERIES L,101000000025941,2026-08-27
GODFRYPHLP,NSE:GODFRYPHLP-EQ,INE260B01028,GODFREY PHILLIPS INDIA LT,10100000001181,2026-08-27
GODIGIT,NSE:GODIGIT-EQ,INE03JT01014,GO DIGIT GENERAL INS LTD,101000000023799,2026-08-27
GODREJAGRO,NSE:GODREJAGRO-EQ,INE850D01014,GODREJ AGROVET LIMITED,1010000000144,2026-08-27
GODREJCP,NSE:GODREJCP-EQ,INE102D01028,GODREJ CONSUMER PRODUCTS,101000000010099,2026-08-27
GODREJIND,NSE:GODREJIND-EQ,INE233A01035,GODREJ INDUSTRIES LTD,101000000010925,2026-08-27
GODREJPROP,NSE:GODREJPROP-EQ,INE484J01027,GODREJ PROPERTIES LTD,101000000017875,2026-08-27
GOKEX,NSE:GOKEX-EQ,INE887G01027,GOKALDAS EXPORTS LTD.,101000000011778,2026-08-27
GOKUL,NSE:GOKUL-EQ,INE020J01029,GOKUL REFOILS & SOLV LTD,101000000016705,2026-08-27
GOKULAGRO,NSE:GOKULAGRO-EQ,INE314T01033,GOKUL AGRO RESOURCES LTD,101000000014480,2026-08-27
GOLDIAM,NSE:GOLDIAM-EQ,INE025B01025,GOLDIAM INTERNATIONAL LTD,101000000011971,2026-08-27
GOODLUCK,NSE:GOODLUCK-EQ,INE127I01024,GOODLUCK INDIA LIMITED,10100000006125,2026-08-27
GOODYEAR,NSE:GOODYEAR-EQ,INE533A01012,GOODYEAR INDIA LIMITED,10100000001205,2026-08-27
GOPAL,NSE:GOPAL-EQ,INE0L9R01028,GOPAL SNACKS LIMITED,101000000023066,2026-08-27
GOYALALUM,NSE:GOYALALUM-EQ,INE705X01026,GOYAL ALUMINIUMS LIMITED,101000000011787,2026-08-27
GPIL,NSE:GPIL-EQ,INE177H01039,GODAWARI POW & ISP LTD,101000000013409,2026-08-27
GPPL,NSE:GPPL-EQ,INE517F01014,GUJARAT PIPAVAV PORT LTD,101000000019731,2026-08-27
GPTHEALTH,NSE:GPTHEALTH-EQ,INE486R01017,GPT HEALTHCARE LIMITED,101000000022846,2026-08-27
GPTINFRA,NSE:GPTINFRA-EQ,INE390G01014,GPT INFRAPROJECTS LTD,101000000017685,2026-08-27
GRADIENTE,NSE:GRADIENTE-EQ,INE361K01017,GRADIENTE INFOTAINMENT L,1010000000763299,2026-08-27
GRANDOAK,NSE:GRANDOAK-EQ,INE926B01016,GRAND OAK CANYONS DIST L,1010000000762695,2026-08-27
GRANULES,NSE:GRANULES-EQ,INE101D01020,GRANULES INDIA LIMITED,101000000011872,2026-08-27
GRAPHITE,NSE:GRAPHITE-EQ,INE371A01025,GRAPHITE INDIA LTD,1010000000592,2026-08-27
GRASIM,NSE:GRASIM-EQ,INE047A01021,GRASIM INDUSTRIES LTD,10100000001232,2026-08-27
GRAUWEIL,NSE:GRAUWEIL-EQ,INE266D01021,GRAUER & WEIL IND LTD,10100000005200,2026-08-27
GRAVISSHO,NSE:GRAVISSHO-EQ,INE214F01026,GRAVISS HOSPITALITY LTD.,1010000000762700,2026-08-27
GRAVITA,NSE:GRAVITA-EQ,INE024L01027,GRAVITA INDIA LIMITED,101000000020534,2026-08-27
GREAVESCOT,NSE:GREAVESCOT-EQ,INE224A01026,GREAVES COTTON LTD.,10100000001235,2026-08-27
GREENLAM,NSE:GREENLAM-EQ,INE544R01021,GREENLAM INDUSTRIES LTD.,10100000006848,2026-08-27
GREENPANEL,NSE:GREENPANEL-EQ,INE08ZM01014,GREENPANEL INDUSTRIES LTD,101000000013810,2026-08-27
GREENPLY,NSE:GREENPLY-EQ,INE461C01038,GREENPLY INDUSTRIES LTD,10100000003987,2026-08-27
GREENPOWER,NSE:GREENPOWER-EQ,INE999K01014,ORIENT GREEN POWER CO LTD,101000000020110,2026-08-27
GRINDWELL,NSE:GRINDWELL-EQ,INE536A01023,GRINDWELL NORTON LIMITED,101000000013560,2026-08-27
GRINFRA,NSE:GRINFRA-EQ,INE201P01022,G R INFRAPROJECTS LIMITED,10100000005054,2026-08-27
GRMOVER,NSE:GRMOVER-EQ,INE192H01020,GRM OVERSEAS LIMITED,101000000010871,2026-08-27
